                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    128,                0.69386,                0.44959,                 1.1998,                0.91492,                0.93827,                0.95263,                0.73147,                      0,                    inf,                      0,              0.0037135,              0.0037135,              0.0037135
                    129,                0.70038,                0.47091,                 1.1973,                0.94145,                0.90464,                0.94447,                 0.7393,                      0,                    inf,                      0,               0.003664,               0.003664,               0.003664
                    130,                0.70913,                0.45581,                 1.1929,                0.96491,                0.89863,                 0.9431,                0.73647,                      0,                    inf,                      0,              0.0036145,              0.0036145,              0.0036145
                    131,                0.68541,                0.45461,                 1.1825,                0.95246,                0.90324,                0.95102,                0.72785,                      0,                    inf,                      0,               0.003565,               0.003565,               0.003565
                    132,                0.67126,                0.45165,                 1.1661,                 0.9449,                0.94347,                0.96584,                 0.7329,                      0,                    inf,                      0,              0.0035155,              0.0035155,              0.0035155
                    133,                0.68367,                0.45119,                 1.1939,                0.95654,                0.93621,                0.96461,                0.73835,                      0,                    inf,                      0,               0.003466,               0.003466,               0.003466
                    134,                0.69349,                0.46274,                 1.1918,                0.93615,                0.95392,                0.96556,                0.73732,                      0,                    inf,                      0,              0.0034165,              0.0034165,              0.0034165
                    135,                0.70078,                0.45414,                  1.216,                0.93494,                0.93313,                0.96005,                0.72759,                      0,                    inf,                      0,               0.003367,               0.003367,               0.003367
                    136,                0.68968,                0.46125,                 1.1971,                0.94154,                0.91754,                0.96464,                0.74117,                      0,                    inf,                      0,              0.0033175,              0.0033175,              0.0033175
                    137,                 0.6886,                0.46587,                 1.1908,                0.95517,                0.91087,                0.96057,                0.73912,                      0,                    inf,                      0,               0.003268,               0.003268,               0.003268
                    138,                 0.6711,                0.43931,                 1.1745,                0.97006,                0.90187,                0.95676,                0.73513,                      0,                    inf,                      0,              0.0032185,              0.0032185,              0.0032185
                    139,                 0.6964,                0.44931,                 1.1844,                0.96257,                0.93115,                0.96719,                0.73179,                      0,                    inf,                      0,               0.003169,               0.003169,               0.003169
                    140,                0.67465,                0.43951,                 1.1886,                0.97302,                0.91247,                0.96634,                0.74233,                      0,                    inf,                      0,              0.0031195,              0.0031195,              0.0031195
                    141,                0.66785,                0.44255,                 1.1807,                0.97683,                0.92597,                0.96587,                  0.754,                      0,                    inf,                      0,                0.00307,                0.00307,                0.00307
                    142,                0.66325,                0.43426,                 1.1591,                0.97208,                0.91289,                0.96588,                0.74919,                      0,                    inf,                      0,              0.0030205,              0.0030205,              0.0030205
                    143,                 0.6933,                0.44213,                 1.1762,                0.96882,                0.92026,                 0.9664,                0.73895,                      0,                    inf,                      0,               0.002971,               0.002971,               0.002971
                    144,                0.65378,                0.43699,                 1.1595,                 0.9611,                 0.9159,                0.97004,                0.74844,                      0,                    inf,                      0,              0.0029215,              0.0029215,              0.0029215
                    145,                0.66209,                0.42584,                   1.16,                0.97294,                0.91083,                0.95987,                0.73832,                      0,                    inf,                      0,               0.002872,               0.002872,               0.002872
                    146,                 0.6635,                0.42519,                 1.1733,                0.97617,                0.91294,                0.96594,                0.74405,                      0,                    inf,                      0,              0.0028225,              0.0028225,              0.0028225
                    147,                0.66348,                0.42403,                 1.1606,                0.95909,                0.93178,                0.96931,                0.74592,                      0,                    inf,                      0,               0.002773,               0.002773,               0.002773
                    148,                 0.6646,                 0.4455,                 1.1721,                0.96359,                0.93183,                0.97124,                0.74645,                      0,                    inf,                      0,              0.0027235,              0.0027235,              0.0027235
                    149,                0.66918,                0.43359,                  1.159,                0.96244,                0.91118,                0.96217,                0.73605,                      0,                    inf,                      0,               0.002674,               0.002674,               0.002674
                    150,                0.64579,                0.42908,                 1.1582,                0.92682,                0.94803,                 0.9652,                0.74501,                      0,                    inf,                      0,              0.0026245,              0.0026245,              0.0026245
                    151,                0.64653,                0.42908,                 1.1574,                0.96478,                0.92551,                0.96507,                0.74088,                      0,                    inf,                      0,               0.002575,               0.002575,               0.002575
                    152,                0.64957,                0.43023,                 1.1565,                0.94918,                0.94666,                0.96447,                0.73352,                      0,                    inf,                      0,              0.0025255,              0.0025255,              0.0025255
                    153,                0.67046,                0.43059,                 1.1784,                0.96718,                0.93368,                0.96522,                0.75451,                      0,                    inf,                      0,               0.002476,               0.002476,               0.002476
                    154,                0.67883,                0.44666,                 1.1911,                 0.9688,                0.92487,                0.96216,                0.75078,                      0,                    inf,                      0,              0.0024265,              0.0024265,              0.0024265
                    155,                0.64789,                0.43795,                 1.1597,                0.95626,                0.95752,                0.97327,                0.74678,                      0,                    inf,                      0,               0.002377,               0.002377,               0.002377
                    156,                0.64919,                0.43429,                 1.1629,                0.95175,                0.92388,                0.95652,                0.74797,                      0,                    inf,                      0,              0.0023275,              0.0023275,              0.0023275
